node	n	p_value	q1	q2	q3	ILS_explain	IH_explain	ILS_index	IH_index
N3	95.1112	0.2619013266874153	0.4801400886541228	0.30140193794211406	0.21845797340376316	0.5198599113458773	0	0.7797898670188159	0
N4	96.875	0.8178717972514383	0.4038709677419355	0.30709677419354836	0.28903225806451616	0.5961290322580646	0	0.8941935483870969	0
N5	93.75	0.26688174016377764	0.576	0.17466666666666666	0.24933333333333332	0.424	0	0.6360000000000001	0
N6	97.4	0.3678806427796656	0.5441478439425051	0.2587268993839836	0.19712525667351127	0.45585215605749485	0	0.6837782340862423	0
N7	95.4	0.999999999999998	0.9580712788259959	0.020964360587002094	0.020964360587002094	0.04192872117400419	0	0.06289308176100622	0
